Norvège,TH,1
Australie,TH,2
Etats-Unis d'Amérique,TH,3
Pays-Bas,TH,4
Allemagne,TH,5
Nouvelle-Zélande,TH,6
Irlande,TH,7
Suède,TH,8
Suisse,TH,9
Japon,TH,10
Canada anglophone,TH,11
Canada francophone (Québec),TH,11
Corée du Sud,TH,12
Hong Kong,TH,13
Islande,TH,14
Danemark,TH,15
Israël,TH,16
Belgique,TH,17
Autriche,TH,18
Singapour,TH,19
France,TH,20
Dinlande,TH,21
Slovénie,TH,22
Espagne,TH,23
Liechtenstein,TH,24
Italie,TH,25
Luxembourg,TH,26
Royaume-Uni,TH,27
République Tchèque,TH,28
Grèce,TH,29
Brunei,TH,30
Chypre,TH,31
Malte,TH,32
Andorre,TH,33
Estonie,TH,34
Slovaquie,TH,35
Qatar,TH,36
Hongrie,TH,37
Barbades,TH,38
Pologne,TH,39
Chili,TH,40
Lituanie,TH,41
Emirats Arabes Unis,TH,42
Portugal,TH,43
Lettonie,TH,44
Argentine,TH,45
Seychelles,TH,46
Croatie,TH,47
Bahrein,H,48
Bahamas,H,49
Biélarusse,H,50
Uruguay,H,51
Montenegro,H,52
Palau,H,53
Koweit,H,54
Russie,H,55
Roumanie,H,56
Bulgarie,H,57
Arabie saoudite,H,58
Cuba,H,59
Panama,H,60
Mexique,H,61
Costa Rica,H,62
Grenade,H,63
Lybie,H,64
Malaisie,H,65
Serbie,H,66
Antigua et Barbuda,H,67
Trinidad et Tobago,H,68
Kazakhstan,H,69
Albanie,H,70
Venezuela,H,71
Géorgie,H,72
Liban,H,73
Saint Kitts et Nevis,H,74
Iran,H,75
Pérou,H,76
Macédoine,H,77
Ukraine,H,78
Maurice,H,79
Bosnie Herzégovine,H,80
Azerbaidjan,H,81
Saint-Vincent,H,82
Oman,H,83
Brésil,H,84
Jamaïque,H,85
Arménie,H,86
Sainte-Lucie,H,87
Equateur,H,88
Turquie,H,89
Colombie,H,90
Sri Lanka,H,91
Algérie,H,92
Tunisie,H,93
Tonga,M,94
Belize,M,95
République Dominicaine,M,96
Fiji,M,97
Samoa,M,98
Jordanie,M,99
Chine,M,100
Turkmenistan,M,101
Thaïlande,M,102
Maldives,M,103
Surinam,M,104
Gabon,M,105
Salvador,M,106
Bolivie,M,107
Mongolie,M,108
Palestine,M,109
Paraguay,M,110
Egypte,M,111
Moldavie,M,112
Philippines,M,113
Ouzbekistan,M,114
Syrie,M,115
Micronésie,M,116
Guyana,M,117
Botswana,M,118
Honduras,M,119
Indonésie,M,120
Kiribati,M,121
Afrique du Sud,M,122
Vanuatu,M,123
Kirghistan,M,124
Tadjikistan,M,125
Viet Nam,M,126
Namibie,M,127
Nicaragua,M,128
Maroc,M,129
Irak,M,130
Cap vert,M,131
Guatemala,M,132
Timor Oriental,M,133
Ghana,M,134
Guinée équatoriale,M,135
Inde,M,136
Cambodge,M,137
Laos,M,138
Bhoutan,M,139
Swaziland,M,140
Congo-Brazzaville,B,141
Iles Salomon,B,142
Sao Tome et Principe,B,143
Kenya,B,144
Bangladesh,B,145
Pakistan,B,146
Angola,B,147
Birmanie,B,148
Cameroun,B,149
Madagascar,B,150
Tanzanie,B,151
Nigéria,B,152
Sénégal,B,153
Mauritanie,B,154
Papouasie-Nouvelle-Guinée,B,155
Népal,B,156
Lesotho,B,157
,B,158
Togo,B,159
Yemen,B,160
Haïti,B,161
Ouganda,B,162
Zambie,B,163
,B,164
Djibouti,B,165
Gambie,B,166
Bénin,B,167
Rwanda,B,168
Côte d'Ivoire,B,169
Comorres,B,170
Malawi,B,171
Soudan,B,172
Zimbabwe,B,173
Ethiopie,B,174
Libéria,B,175
Afghanistan,B,176
Guinée-Bissau,B,177
Sierra Leone,B,178
Burundi,B,179
Guinée,B,180
République centrafricaine,B,181
Erythrée,B,182
Mali,B,183
Burkina Faso,B,184
Tchad,B,185
Mozambique,B,186
Congo-Kinshasa,B,187
Niger,B,188
Autre,NA,
Monaco,TH,
Finlande,TH,
Fidji,M,
Guatémala,M,
